address;label;tr_btc;balance_btc;balance_usd;first_tr;last_tr;n_tr;time;ts;ts_finish;exchange_rate;tr_profit;cum_profit;cohort;last_block;changed
1AycAg3xBRAssyaA9qmr4q5egbdhBvDd1G;;500.0;500.0;15447295.0;2023-04-14 06:55:16 UTC;2023-04-14 06:55:16 UTC;1;2023-04-14 07:00:00 UTC;1681452000;;30894.59;0.0;0.0;b;785333;False
1B3iAWaLFTKkchmccuAD6xxb3ZjFNcz1Ep;;127.65580366;300.0;5866527.0;2022-10-18 11:01:45 UTC;2022-10-18 11:01:45 UTC;3;2022-10-18 12:00:00 UTC;1666090800;;19555.09;-339688.68754418;-648285.92322801;b;759211;False
1BFmwfMAdooV2dm34rnN8mfm4tFvsoxkd9;;231.93977077;300.0;6689844.0;2022-07-18 07:08:47 UTC;2022-07-18 07:08:47 UTC;2;2022-07-18 08:00:00 UTC;1658127600;;22299.48;165614.35879682;165614.35879682;b;745461;False
1BPbQtPRuhVaF3Ph8PH2J9BAbhqPbt9zwt;;200.84836262;300.0;13054464.0;2022-02-09 08:02:22 UTC;2022-02-09 08:02:22 UTC;2;2022-02-09 09:00:00 UTC;1644393600;;43514.88;-68895.51523349;-68895.51523349;b;722445;False
1BSpopvH94y6RNSQx3XnZz6Wgtip8ao9Kr;;205.28718232;300.0;6117276.0;2022-06-23 05:34:19 UTC;2022-06-23 05:34:19 UTC;2;2022-06-23 06:00:00 UTC;1655960400;;20390.92;5821.99690279;5821.99690279;b;741947;False
1BdXs6VndkN2Kr4D5YAiDmuWuEk3V2qC4c;;7498.993;7499.0;201748521.61;2023-09-29 20:14:00 UTC;2023-09-29 20:14:00 UTC;3;2023-09-29 21:00:00 UTC;1696017600;;26903.39;0.04788;-0.71282;c;809915;False
1BgtG7FTDwg3VqwFgKji5TtnpJKyAFH8ZZ;;270.24858;300.0;14363859.0;2021-12-28 17:09:46 UTC;2021-12-28 17:09:46 UTC;2;2021-12-28 18:00:00 UTC;1640710800;;47879.53;-86133.336042;-86133.336042;b;716146;False
1BhWHDBJpSQDk2Z4tzjV4bgof3ZEYCu7mL;;300.0;300.0;5117409.0;2022-11-30 20:56:16 UTC;2022-11-30 20:56:16 UTC;1;2022-11-30 21:00:00 UTC;1669838400;;17058.03;0.0;0.0;b;765357;False
1BiwntA3y7bTB4QXQNtZqdYkc9JyhdiDk4;;252.42592323;300.0;12651324.0;2022-01-19 12:15:18 UTC;2022-01-19 12:15:18 UTC;2;2022-01-19 13:00:00 UTC;1642593600;;42171.08;19530.10999562;19530.10999562;b;719436;False
1Bjr3eiwtNyJ3T1uArvetmi3KtLEDTRQpf;;242.98;243.0;10412375.04;2023-12-28 13:05:42 UTC;2023-12-28 13:05:42 UTC;2;2023-12-28 14:00:00 UTC;1703768400;;42849.28;-12.388;-12.388;b;823270;False
1BmgEQdiG315oV8Q7QZmuBJMtEdF8g1etA;;278.67761538;300.0;9481506.0;2022-06-01 05:29:53 UTC;2022-06-01 05:29:53 UTC;2;2022-06-01 06:00:00 UTC;1654059600;;31605.02;427.08736394;427.08736394;b;738828;False
1BqKzZArVyfWFenRisaTNSPv2g2Xtq3w3i;;300.0;300.0;8856909.0;2022-06-07 12:26:29 UTC;2022-06-07 12:26:29 UTC;1;2022-06-07 13:00:00 UTC;1654603200;;29523.03;0.0;0.0;b;739710;False
1Bst4ng8B3RazuprGPYomr9sJfAwXSas2N;;252.42256364;300.0;12980271.0;2022-01-20 15:35:37 UTC;2022-01-20 15:35:37 UTC;2;2022-01-20 16:00:00 UTC;1642690800;;43267.57;52168.18319438;52168.18319438;b;719649;False
1C3BBFuEx17mpGvVJtvkp3QYzQWYS8H2B8;;199.0;199.0;5119533.7;2023-09-05 05:45:29 UTC;2023-09-05 05:45:29 UTC;1;2023-09-05 06:00:00 UTC;1693890000;;25726.3;0.0;0.0;b;806295;False
1C7NmC2NKDC6n7prz9h4ePeTWbH8gJ19zh;;81.7537401;300.0;6428724.0;2022-07-07 18:53:27 UTC;2022-07-07 18:53:27 UTC;4;2022-07-07 19:00:00 UTC;1657216800;;21429.08;196991.25664834;403246.66866182;b;744031;False
1CA98ymFwEv8DNDcNxdnBc1G1GWxeYq6zW;;400.0;400.0;11370264.0;2023-04-01 12:50:53 UTC;2023-04-01 12:50:53 UTC;1;2023-04-01 13:00:00 UTC;1680350400;;28425.66;0.0;0.0;b;783462;False
1CBDLHWw64faGxE2xW6z6nk7kpHDDz3iGh;;130.0;190.0;5121533.6;2023-03-28 13:26:59 UTC;2023-03-28 13:26:59 UTC;2;2023-03-28 14:00:00 UTC;1680008400;;26955.44;-31574.4;-31574.4;b;782893;False
1CFkNqnJkxpoeqjT43SwnLH9va3cGd8oKn;;270.4226683;300.0;13979778.0;2022-01-03 17:35:18 UTC;2022-01-03 17:35:18 UTC;2;2022-01-03 18:00:00 UTC;1641229200;;46599.26;-37866.97045556;-37866.97045556;b;717038;False
